Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 15:32:24
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 15:32:47
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 15:33:10
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 15:33:34
Error | PLC IJ01 | Connection Failed | :: Error: read ECONNRESET 15-04-2020 15:34:33
Error | Modbus Cobot | Connection Failed | :: Error: connect EHOSTUNREACH 192.168.40.30:502 15-04-2020 18:34:42
Error | PLC IJ02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.41:502 16-04-2020 14:48:40
Error | PLC IJ02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.41:502 16-04-2020 14:49:04
Error | PLC IJ01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.21:502 16-04-2020 14:49:27
Error | PLC IJ02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.41:502 16-04-2020 14:49:50
Error | PLC JM02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.51:502 16-04-2020 14:50:13
Error | PLC Cobot UR10 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.31:502 16-04-2020 14:50:37
Error | PLC JM02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.51:502 16-04-2020 14:51:00
Error | PLC IJ02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.41:502 16-04-2020 14:51:24
Error | PLC IJ01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.21:502 16-04-2020 14:51:47
Error | PLC IJ01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.21:502 16-04-2020 14:52:11
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 16-04-2020 14:52:34
Error | PLC JM02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.51:502 16-04-2020 14:52:58
Error | PLC JM02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.51:502 16-04-2020 14:53:21
Error | PLC JM01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.11:502 16-04-2020 14:53:44
Error | PLC Cobot UR10 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.31:502 16-04-2020 14:54:08
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 16-04-2020 14:54:31
Error | PLC JM01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.11:502 16-04-2020 14:54:55
Error | PLC Cobot UR10 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.31:502 16-04-2020 14:55:18
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 16-04-2020 14:55:41
Error | PLC JM01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.11:502 16-04-2020 14:56:05
Error | PLC IJ01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.21:502 16-04-2020 14:56:28
Error | PLC Cobot UR10 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.31:502 16-04-2020 14:56:51
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 16-04-2020 14:57:14
Error | PLC JM01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.11:502 16-04-2020 14:57:38
Error | PLC JM01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.11:502 16-04-2020 14:58:01
Error | PLC IJ02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.41:502 16-04-2020 14:58:25
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 16-04-2020 14:58:49
